Gender,Age,Debt,Married,BankCustomer,Industry,InvestmentScore,BankRecord,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
0,19.17,8.585,1,1,InformationTechnology,2.39,1,Black,0.75,1,1,7,0,ByBirth,96,0,1
1,25.0,11.25,1,1,Energy,0.84,1,White,2.5,1,1,17,0,ByBirth,200,1208,1
1,23.25,1.0,1,1,Energy,5.39,1,White,0.835,1,0,0,0,ByOtherMeans,300,0,1
0,47.75,8.0,1,1,Energy,8.89,1,White,7.875,1,1,6,1,ByBirth,0,1260,1
0,27.42,14.5,1,1,Utilities,3.63,1,Black,3.085,1,1,1,0,ByBirth,120,11,1
0,41.17,6.5,1,1,Materials,4.35,1,White,0.5,1,1,3,1,ByBirth,145,0,1
0,15.83,0.585,1,1,Energy,7.42,1,Black,1.5,1,1,2,0,ByBirth,100,0,1
0,47.0,13.0,1,1,ConsumerDiscretionary,1.15,1,Asian,5.165,1,1,9,1,ByBirth,0,0,1
1,56.58,18.5,1,1,Real Estate,2.27,1,Asian,15.0,1,1,17,1,ByBirth,0,0,1
1,57.42,8.5,1,1,Education,9.97,1,Black,7.0,1,1,3,0,ByBirth,0,0,1
1,42.08,1.04,1,1,Industrials,2.48,1,White,5.0,1,1,6,1,ByBirth,500,10000,1
1,29.25,14.79,1,1,ConsumerStaples,6.3,1,White,5.04,1,1,5,1,ByBirth,168,0,1
1,42.0,9.79,1,1,Utilities,2.49,1,Black,7.96,1,1,8,0,ByBirth,0,0,1
1,49.5,7.585,1,1,ConsumerDiscretionary,7.23,1,Asian,7.585,1,1,15,1,ByBirth,0,5000,1
0,36.75,5.125,1,1,Education,9.36,1,White,5.0,1,0,0,1,ByBirth,0,4000,1
0,22.58,10.75,1,1,Materials,5.58,1,White,0.415,1,1,5,1,ByBirth,0,560,1
1,27.83,1.5,1,1,Industrials,0.32,1,White,2.0,1,1,11,1,ByBirth,434,35,1
1,27.25,1.585,1,1,InformationTechnology,8.28,1,Black,1.835,1,1,12,1,ByBirth,583,713,1
0,23.0,11.75,1,1,Utilities,4.55,1,Black,0.5,1,1,2,1,ByBirth,300,551,1
1,27.75,0.585,0,0,InformationTechnology,0.79,0,White,0.25,1,1,2,0,ByBirth,260,500,1
1,54.58,9.415,1,1,Healthcare,5.24,1,Latino,14.415,1,1,11,1,ByBirth,30,300,1
1,34.17,9.17,1,1,Energy,3.69,1,White,4.5,1,1,12,1,ByBirth,0,221,1
1,28.92,15.0,1,1,Energy,9.96,1,Black,5.335,1,1,11,0,ByBirth,0,2283,1
1,29.67,1.415,1,1,Industrials,6.29,1,Black,0.75,1,1,1,0,ByBirth,240,100,1
1,39.58,13.915,1,1,Industrials,4.15,1,White,8.625,1,1,6,1,ByBirth,70,0,1
1,56.42,28.0,0,0,Energy,4.1,0,White,28.5,1,1,40,0,ByBirth,0,15,1
1,54.33,6.75,1,1,Energy,6.04,1,Black,2.625,1,1,11,1,ByBirth,0,284,1
0,41.0,2.04,0,0,Materials,8.77,0,Black,0.125,1,1,23,1,ByBirth,455,1236,1
1,31.92,4.46,1,1,InformationTechnology,0.56,1,Black,6.04,1,1,3,0,ByBirth,311,300,1
1,41.5,1.54,1,1,ConsumerDiscretionary,4.09,1,Asian,3.5,0,0,0,0,ByBirth,216,0,1
1,23.92,0.665,1,1,Energy,5.3,1,White,0.165,0,0,0,0,ByBirth,100,0,1
0,25.75,0.5,1,1,Energy,2.75,1,Black,0.875,1,0,0,1,ByBirth,491,0,1
1,26.0,1.0,1,1,Materials,6.84,1,White,1.75,1,0,0,1,ByBirth,280,0,1
1,37.42,2.04,1,1,Industrials,1.41,1,White,0.04,1,0,0,1,ByBirth,400,5800,1
1,34.92,2.5,1,1,Industrials,5.76,1,White,0.0,1,0,0,1,ByBirth,239,200,1
1,34.25,3.0,1,1,InformationTechnology,1.8,1,Black,7.415,1,0,0,1,ByBirth,0,0,1
1,23.33,11.625,0,0,Industrials,9.98,0,White,0.835,1,0,0,1,ByBirth,160,300,1
1,23.17,0.0,1,1,InformationTechnology,1.09,1,White,0.085,1,0,0,0,ByBirth,0,0,1
1,44.33,0.5,1,1,ConsumerDiscretionary,7.0,1,Black,5.0,1,0,0,1,ByBirth,320,0,1
1,35.17,4.5,1,1,Utilities,0.46,1,Black,5.75,0,0,0,1,ByOtherMeans,711,0,1
1,43.25,3.0,1,1,Materials,3.87,1,Black,6.0,1,1,11,0,ByBirth,80,0,1
1,56.75,12.25,1,1,CommunicationServices,8.02,1,White,1.25,1,1,4,1,ByBirth,200,0,1
1,31.67,16.165,1,1,Real Estate,0.13,1,White,3.0,1,1,9,0,ByBirth,250,730,1
0,23.42,0.79,0,0,Materials,6.41,0,White,1.5,1,1,2,1,ByBirth,80,400,1
0,20.42,0.835,1,1,Materials,2.44,1,White,1.585,1,1,1,0,ByBirth,0,0,1
1,26.67,4.25,1,1,InformationTechnology,5.22,1,White,4.29,1,1,1,1,ByBirth,120,0,1
1,34.17,1.54,1,1,InformationTechnology,6.69,1,White,1.54,1,1,1,1,ByBirth,520,50000,1
0,36.0,1.0,1,1,Energy,5.6,1,White,2.0,1,1,11,0,ByBirth,0,456,1
1,25.5,0.375,1,1,CommunicationServices,0.76,1,White,0.25,1,1,3,0,ByBirth,260,15108,1
1,19.42,6.5,1,1,Industrials,2.31,1,Black,1.46,1,1,7,0,ByBirth,80,2954,1
1,35.17,25.125,1,1,Utilities,9.82,1,Black,1.625,1,1,1,1,ByBirth,515,500,1
1,32.33,7.5,1,1,Education,8.69,1,Asian,1.585,1,0,0,1,ByOtherMeans,420,0,0
1,34.83,4.0,1,1,Real Estate,4.0,1,Asian,12.5,1,0,0,1,ByBirth,0,0,0
0,38.58,5.0,1,1,InformationTechnology,3.35,1,White,13.5,1,0,0,1,ByBirth,980,0,0
1,44.25,0.5,1,1,CommunicationServices,3.09,1,White,10.75,1,0,0,0,ByOtherMeans,400,0,0
1,44.83,7.0,0,0,Energy,4.12,0,White,1.625,0,0,0,0,ByBirth,160,2,0
1,20.67,5.29,1,1,Materials,6.96,1,White,0.375,1,1,1,0,ByBirth,160,0,0
1,34.08,6.5,1,1,ConsumerStaples,4.75,1,White,0.125,1,0,0,1,ByBirth,443,0,0
0,19.17,0.585,0,0,ConsumerStaples,4.55,0,White,0.585,1,0,0,1,ByBirth,160,0,0
1,21.67,1.165,0,0,Financials,9.96,0,White,2.5,1,1,1,0,ByBirth,180,20,0
1,21.5,9.75,1,1,Energy,5.86,1,White,0.25,1,0,0,0,ByBirth,140,0,0
1,49.58,19.0,1,1,Healthcare,8.05,1,Latino,0.0,1,1,1,0,ByBirth,94,0,0
0,27.67,1.5,1,1,CommunicationServices,3.97,1,White,2.0,1,0,0,0,ByOtherMeans,368,0,0
1,39.83,0.5,1,1,CommunicationServices,2.64,1,White,0.25,1,0,0,0,ByOtherMeans,288,0,0
0,28.46,3.5,1,1,Real Estate,3.25,1,White,3.0,1,0,0,1,ByBirth,300,0,0
1,27.25,0.625,1,1,ConsumerStaples,5.97,1,White,0.455,1,0,0,1,ByBirth,200,0,0
1,37.17,4.0,1,1,Energy,1.19,1,Asian,5.0,1,0,0,1,ByOtherMeans,280,0,0
1,28.46,0.375,1,1,Real Estate,0.11,1,White,0.875,1,0,0,1,ByOtherMeans,928,0,0
1,25.67,2.21,0,0,ConsumerStaples,1.93,0,White,4.0,1,0,0,0,ByBirth,188,0,0
1,34.0,4.5,1,1,ConsumerStaples,4.27,1,White,1.0,1,0,0,1,ByBirth,240,0,0
0,49.0,1.5,1,1,Research,3.84,1,Other,0.0,1,0,0,1,ByBirth,100,27,0
1,62.5,12.75,0,0,Energy,7.73,0,Black,5.0,1,0,0,0,ByBirth,112,0,0
1,31.42,15.5,1,1,Energy,5.83,1,White,0.5,1,0,0,0,ByBirth,120,0,0
1,28.46,5.0,0,0,ConsumerStaples,7.24,0,White,8.5,1,0,0,0,ByBirth,0,0,0
1,52.33,1.375,0,0,Energy,4.92,0,Black,9.46,1,0,0,1,ByBirth,200,100,0
1,28.75,1.5,0,0,Energy,5.64,0,White,1.5,1,0,0,1,ByBirth,0,225,0
0,28.58,3.54,1,1,ConsumerDiscretionary,1.16,1,Asian,0.5,1,0,0,1,ByBirth,171,0,0
1,23.0,0.625,0,0,ConsumerStaples,3.04,0,White,0.125,1,0,0,0,ByBirth,180,1,0
1,28.46,0.5,1,1,Energy,7.13,1,Asian,0.835,1,0,0,1,ByOtherMeans,320,0,0
0,22.5,11.0,0,0,Materials,1.24,0,White,3.0,1,0,0,1,ByBirth,268,0,0
0,28.5,1.0,1,1,Materials,8.98,1,White,1.0,1,1,2,1,ByBirth,167,500,0
1,37.5,1.75,0,0,Energy,1.3,0,Asian,0.25,1,0,0,1,ByBirth,164,400,0
1,35.25,16.5,0,0,Energy,3.27,0,White,4.0,1,0,0,0,ByBirth,80,0,0
1,18.67,5.0,1,1,Materials,6.2,1,White,0.375,1,1,2,0,ByBirth,0,38,0
1,25.0,12.0,1,1,Financials,5.24,1,White,2.25,1,1,2,1,ByBirth,120,5,0
1,27.83,4.0,0,0,ConsumerDiscretionary,9.55,0,Black,5.75,1,1,2,1,ByBirth,75,0,0
1,54.83,15.5,1,1,Education,1.7,1,Other,0.0,1,1,20,0,ByBirth,152,130,0
1,28.75,1.165,1,1,Financials,5.74,1,White,0.5,1,0,0,0,ByOtherMeans,280,0,0
0,25.0,11.0,0,0,ConsumerStaples,1.99,0,White,4.5,1,0,0,0,ByBirth,120,0,0
1,40.92,2.25,0,0,Utilities,3.77,0,Black,10.0,1,0,0,1,ByBirth,176,0,0
0,19.75,0.75,1,1,Energy,1.61,1,White,0.795,1,1,5,1,ByBirth,140,5,0
1,29.17,3.5,1,1,Industrials,6.17,1,White,3.5,1,1,3,1,ByBirth,329,0,0
0,24.5,1.04,0,0,Healthcare,9.87,0,Latino,0.5,1,1,3,0,ByBirth,180,147,0
1,24.58,12.5,1,1,Industrials,6.15,1,White,0.875,1,0,0,1,ByBirth,260,0,0
0,33.75,0.75,1,1,Financials,4.29,1,Asian,1.0,1,1,3,1,ByBirth,212,0,0
1,20.67,1.25,0,0,Energy,7.28,0,Black,1.375,1,1,3,1,ByBirth,140,210,0
0,25.42,1.125,1,1,Materials,7.76,1,White,1.29,1,1,2,0,ByBirth,200,0,0
1,37.75,7.0,1,1,Materials,7.49,1,Black,11.5,1,1,7,1,ByBirth,300,5,0
1,52.5,6.5,1,1,Financials,9.49,1,White,6.29,1,1,15,0,ByBirth,0,11202,1
1,57.83,7.04,1,1,CommunicationServices,3.99,1,White,14.0,1,1,6,1,ByBirth,360,1332,1
0,20.75,10.335,1,1,InformationTechnology,4.28,1,Black,0.335,1,1,1,1,ByBirth,80,50,1
1,39.92,6.21,1,1,Materials,0.34,1,White,0.04,1,1,1,0,ByBirth,200,300,1
1,25.67,12.5,1,1,InformationTechnology,9.42,1,White,1.21,1,1,67,1,ByBirth,140,258,1
0,24.75,12.5,1,1,ConsumerStaples,3.47,1,White,1.5,1,1,12,1,ByBirth,120,567,1
0,44.17,6.665,1,1,Materials,1.65,1,White,7.375,1,1,3,1,ByBirth,0,0,1
0,23.5,9.0,1,1,Materials,5.34,1,White,8.5,1,1,5,1,ByBirth,120,0,1
1,34.92,5.0,1,1,Utilities,3.2,1,Black,7.5,1,1,6,1,ByBirth,0,1000,1
1,47.67,2.5,1,1,CommunicationServices,3.6,1,Asian,2.5,1,1,12,1,ByBirth,410,2510,1
1,22.75,11.0,1,1,Materials,6.57,1,White,2.5,1,1,7,1,ByBirth,100,809,1
1,34.42,4.25,1,1,ConsumerDiscretionary,3.53,1,Asian,3.25,1,1,2,0,ByBirth,274,610,1
0,28.42,3.5,1,1,Industrials,7.17,1,White,0.835,1,0,0,0,ByOtherMeans,280,0,1
1,67.75,5.5,1,1,Education,5.29,1,Other,13.0,1,1,1,1,ByBirth,0,0,1
1,20.42,1.835,1,1,Energy,2.76,1,White,2.25,1,1,1,0,ByBirth,100,150,1
0,47.42,8.0,1,1,Education,4.63,1,Asian,6.5,1,1,6,0,ByBirth,375,51100,1
1,36.25,5.0,1,1,Energy,2.35,1,Asian,2.5,1,1,6,0,ByBirth,0,367,1
1,32.67,5.5,1,1,Materials,8.5,1,Black,5.5,1,1,12,1,ByBirth,408,1000,1
1,48.58,6.5,1,1,Materials,1.16,1,Black,6.0,1,0,0,1,ByBirth,350,0,1
1,39.92,0.54,0,0,ConsumerStaples,7.95,0,White,0.5,1,1,3,0,ByBirth,200,1000,1
1,33.58,2.75,1,1,CommunicationServices,2.64,1,White,4.25,1,1,6,0,ByBirth,204,0,1
0,18.83,9.5,1,1,Industrials,2.52,1,White,1.625,1,1,6,1,ByBirth,40,600,1
0,26.92,13.5,1,1,Materials,2.42,1,Black,5.0,1,1,2,0,ByBirth,0,5000,1
0,31.25,3.75,1,1,InformationTechnology,6.38,1,Black,0.625,1,1,9,1,ByBirth,181,0,1
0,56.5,16.0,1,1,Research,0.96,1,Latino,0.0,1,1,15,0,ByBirth,0,247,1
1,43.0,0.29,0,0,InformationTechnology,0.7,0,Black,1.75,1,1,8,0,ByBirth,100,375,1
1,22.33,11.0,1,1,Industrials,6.25,1,White,2.0,1,1,1,0,ByBirth,80,278,1
1,27.25,1.665,1,1,InformationTechnology,8.71,1,Black,5.085,1,1,9,0,ByBirth,399,827,1
1,32.83,2.5,1,1,InformationTechnology,8.56,1,Black,2.75,1,1,6,0,ByBirth,160,2072,1
1,23.25,1.5,1,1,Materials,7.31,1,White,2.375,1,1,3,1,ByBirth,0,582,1
0,40.33,7.54,0,0,Materials,9.87,0,Black,8.0,1,1,14,0,ByBirth,0,2300,1
0,30.5,6.5,1,1,Energy,7.34,1,Asian,4.0,1,1,7,1,ByBirth,0,3065,1
0,52.83,15.0,1,1,Energy,5.34,1,White,5.5,1,1,14,0,ByBirth,0,2200,1
0,46.67,0.46,1,1,InformationTechnology,2.29,1,Black,0.415,1,1,11,1,ByBirth,440,6,1
0,58.33,10.0,1,1,Materials,9.22,1,White,4.0,1,1,14,0,ByBirth,0,1602,1
1,37.33,6.5,1,1,CommunicationServices,4.86,1,Black,4.25,1,1,12,1,ByBirth,93,0,1
1,23.08,2.5,1,1,Energy,6.6,1,White,1.085,1,1,11,1,ByBirth,60,2184,1
1,32.75,1.5,1,1,InformationTechnology,8.31,1,Black,5.5,1,1,3,1,ByBirth,0,0,1
0,21.67,11.5,0,0,Research,4.55,0,Other,0.0,1,1,11,1,ByBirth,0,0,1
0,28.5,3.04,0,0,Utilities,2.83,0,Black,2.54,1,1,1,0,ByBirth,70,0,1
0,68.67,15.0,1,1,Education,2.37,1,Other,0.0,1,1,14,0,ByBirth,0,3376,1
1,28.0,2.0,1,1,Financials,8.74,1,Black,4.165,1,1,2,1,ByBirth,181,0,1
1,34.08,0.08,0,0,CommunicationServices,8.0,0,Asian,0.04,1,1,1,1,ByBirth,280,2000,1
1,27.67,2.0,1,1,Utilities,1.05,1,Black,1.0,1,1,4,0,ByBirth,140,7544,1
1,44.0,2.0,1,1,CommunicationServices,2.9,1,White,1.75,1,1,2,1,ByBirth,0,15,1
1,25.08,1.71,1,1,Utilities,7.45,1,White,1.665,1,1,1,1,ByBirth,395,20,1
1,32.0,1.75,0,0,Education,2.39,0,Black,0.04,1,0,0,1,ByBirth,393,0,1
0,60.58,16.5,1,1,Materials,5.51,1,White,11.0,1,0,0,1,ByBirth,21,10561,1
0,40.83,10.0,1,1,Materials,8.63,1,Black,1.75,1,0,0,0,ByBirth,29,837,1
1,19.33,9.5,1,1,Materials,6.37,1,White,1.0,1,0,0,1,ByBirth,60,400,1
0,32.33,0.54,1,1,InformationTechnology,2.08,1,White,0.04,1,0,0,0,ByBirth,440,11177,1
1,36.67,3.25,1,1,Materials,1.51,1,Black,9.0,1,0,0,1,ByBirth,102,639,1
1,37.5,1.125,0,0,Real Estate,7.86,0,White,1.5,0,0,0,1,ByBirth,431,0,1
0,25.08,2.54,0,0,ConsumerStaples,2.86,0,White,0.25,1,0,0,1,ByBirth,370,0,1
1,41.33,0.0,1,1,Energy,5.18,1,Asian,15.0,1,0,0,0,ByBirth,0,0,1
1,56.0,12.5,1,1,Financials,8.03,1,Black,8.0,1,0,0,1,ByBirth,24,2028,1
0,49.83,13.585,1,1,Financials,5.56,1,Black,8.5,1,0,0,1,ByBirth,0,0,1
1,22.67,10.5,1,1,Materials,7.76,1,Black,1.335,1,0,0,0,ByBirth,100,0,1
1,27.0,1.5,0,0,Industrials,2.53,0,White,0.375,1,0,0,1,ByBirth,260,1065,1
1,25.0,12.5,1,1,ConsumerStaples,8.53,1,White,3.0,1,0,0,1,ByOtherMeans,20,0,1
0,26.08,8.665,1,1,ConsumerStaples,9.53,1,White,1.415,1,0,0,0,ByBirth,160,150,1
0,18.42,9.25,1,1,Materials,8.34,1,White,1.21,1,1,4,0,ByBirth,60,540,1
1,20.17,8.17,1,1,ConsumerStaples,2.21,1,White,1.96,1,1,14,0,ByBirth,60,158,1
1,47.67,0.29,1,1,Energy,4.26,1,Asian,15.0,1,1,20,0,ByBirth,0,15000,1
0,21.25,2.335,1,1,ConsumerDiscretionary,4.56,1,Asian,0.5,1,1,4,0,ByOtherMeans,80,0,1
0,20.67,3.0,1,1,Materials,0.7,1,White,0.165,1,1,3,0,ByBirth,100,6,1
0,57.08,19.5,1,1,Energy,7.12,1,White,5.5,1,1,7,0,ByBirth,0,3000,1
0,22.42,5.665,1,1,Materials,1.89,1,White,2.585,1,1,7,0,ByBirth,129,3257,1
1,48.75,8.5,1,1,Energy,6.83,1,Black,12.5,1,1,9,0,ByBirth,181,1655,1
1,40.0,6.5,1,1,ConsumerStaples,4.7,1,Asian,3.5,1,1,1,0,ByBirth,0,500,1
1,40.58,5.0,1,1,Energy,8.39,1,White,5.0,1,1,7,0,ByBirth,0,3065,1
0,28.67,1.04,1,1,Energy,7.12,1,White,2.5,1,1,5,1,ByBirth,300,1430,1
0,33.08,4.625,1,1,Materials,5.07,1,Black,1.625,1,1,2,0,ByBirth,0,0,1
1,21.33,10.5,1,1,Energy,6.35,1,White,3.0,1,0,0,1,ByBirth,0,0,1
1,42.0,0.205,1,1,ConsumerDiscretionary,2.58,1,Black,5.125,1,0,0,0,ByBirth,400,0,1
1,41.75,0.96,1,1,Utilities,0.44,1,White,2.5,1,0,0,0,ByBirth,510,600,1
1,22.67,1.585,0,0,Industrials,3.31,0,White,3.085,1,1,6,0,ByBirth,80,0,1
1,34.5,4.04,0,0,ConsumerDiscretionary,4.21,0,Asian,8.5,1,1,7,1,ByBirth,195,0,1
1,28.25,5.04,0,0,Energy,1.29,0,Asian,1.5,1,1,8,1,ByBirth,144,7,1
1,33.17,3.165,0,0,Utilities,2.44,0,White,3.165,1,1,3,1,ByBirth,380,0,1
1,48.17,7.625,1,1,Industrials,4.6,1,Black,15.5,1,1,12,0,ByBirth,0,790,1
1,27.58,2.04,0,0,ConsumerStaples,7.52,0,White,2.0,1,1,3,1,ByBirth,370,560,1
1,22.58,10.04,1,1,Utilities,2.71,1,White,0.04,1,1,9,0,ByBirth,60,396,1
0,24.08,0.5,1,1,Materials,8.85,1,Black,1.25,1,1,1,0,ByBirth,0,678,1
0,41.33,1.0,1,1,ConsumerDiscretionary,0.05,1,Asian,2.25,1,0,0,1,ByBirth,0,300,1
1,24.83,2.75,1,1,Energy,4.28,1,White,2.25,1,1,6,0,ByBirth,0,600,1
0,20.75,10.25,1,1,Materials,9.82,1,White,0.71,1,1,2,1,ByBirth,49,0,1
1,36.33,2.125,0,0,Industrials,0.23,0,White,0.085,1,1,1,0,ByBirth,50,1187,1
0,35.42,12.0,1,1,Materials,1.79,1,Black,14.0,1,1,8,0,ByBirth,0,6590,1
0,71.58,0.0,1,1,Energy,1.07,1,White,0.0,0,0,0,0,Temporary,0,0,1
1,28.67,9.335,1,1,Materials,6.62,1,Black,5.665,1,1,6,0,ByBirth,381,168,1
1,35.17,2.5,1,1,Financials,5.21,1,White,4.5,1,1,7,0,ByBirth,150,1270,1
1,39.5,4.25,1,1,Energy,3.19,1,Asian,6.5,1,1,16,0,ByBirth,117,1210,1
1,39.33,5.875,1,1,InformationTechnology,0.28,1,Black,10.0,1,1,14,1,ByBirth,399,0,1
1,24.33,6.625,0,0,Real Estate,2.76,0,White,5.5,1,0,0,1,ByOtherMeans,100,0,1
1,60.08,14.5,1,1,Healthcare,8.31,1,Latino,18.0,1,1,15,1,ByBirth,0,1000,1
1,23.08,11.5,1,1,ConsumerDiscretionary,0.96,1,White,3.5,1,1,9,0,ByBirth,56,742,1
1,26.67,2.71,0,0,InformationTechnology,7.53,0,White,5.25,1,1,1,0,ByBirth,211,0,1
1,48.17,3.5,1,1,ConsumerStaples,8.79,1,White,3.5,1,0,0,0,ByOtherMeans,230,0,1
1,41.17,4.04,1,1,InformationTechnology,6.82,1,Black,7.0,1,1,8,0,ByBirth,320,0,1
1,55.92,11.5,1,1,Healthcare,0.17,1,Latino,5.0,1,1,5,0,ByBirth,0,8851,1
1,53.92,9.625,1,1,Education,2.85,1,White,8.665,1,1,5,0,ByBirth,0,0,1
0,18.92,9.25,0,0,Energy,9.54,0,White,1.0,1,1,4,1,ByBirth,80,500,1
0,50.08,12.54,1,1,ConsumerStaples,4.56,1,White,2.29,1,1,3,1,ByBirth,156,0,1
1,65.42,11.0,1,1,Education,2.28,1,Other,20.0,1,1,7,1,ByBirth,22,0,1
0,17.58,9.0,1,1,ConsumerStaples,6.66,1,White,1.375,1,0,0,1,ByBirth,0,0,1
0,18.83,9.54,1,1,ConsumerStaples,2.39,1,White,0.085,1,0,0,0,ByBirth,100,0,1
0,37.75,5.5,1,1,Materials,5.15,1,White,0.125,1,0,0,1,ByBirth,228,0,1
1,23.25,4.0,1,1,Energy,4.46,1,Asian,0.25,1,0,0,1,ByBirth,160,0,1
1,18.08,5.5,1,1,Financials,8.73,1,White,0.5,1,0,0,0,ByBirth,80,0,1
0,22.5,8.46,0,0,Utilities,2.47,0,White,2.46,0,0,0,0,ByBirth,164,0,1
1,19.67,0.375,1,1,Materials,9.88,1,White,2.0,1,1,2,1,ByBirth,80,0,1
1,22.08,11.0,1,1,InformationTechnology,4.75,1,White,0.665,1,0,0,0,ByBirth,100,0,1
1,25.17,3.5,1,1,InformationTechnology,5.02,1,White,0.625,1,1,7,0,ByBirth,0,7059,1
0,47.42,3.0,1,1,Utilities,6.34,1,White,13.875,1,1,2,1,ByBirth,519,1704,1
1,33.5,1.75,1,1,Utilities,1.82,1,Black,4.5,1,1,4,1,ByBirth,253,857,1
1,27.67,13.75,1,1,Industrials,4.17,1,White,5.75,1,0,0,1,ByBirth,487,500,1
0,58.42,21.0,1,1,ConsumerDiscretionary,5.54,1,Asian,10.0,1,1,13,0,ByBirth,0,6700,1
0,20.67,1.835,1,1,Materials,0.22,1,White,2.085,1,1,5,0,ByBirth,220,2503,1
1,26.17,0.25,1,1,ConsumerDiscretionary,9.81,1,Asian,0.0,1,0,0,1,ByBirth,0,0,1
1,21.33,7.5,1,1,ConsumerStaples,5.27,1,White,1.415,1,1,1,0,ByBirth,80,9800,1
1,42.83,4.625,1,1,Materials,4.32,1,White,4.58,1,0,0,0,ByOtherMeans,0,0,1
1,38.17,10.125,1,1,Utilities,8.95,1,White,2.5,1,1,6,0,ByBirth,520,196,1
1,20.5,10.0,0,0,Energy,4.36,0,White,2.5,1,0,0,0,ByOtherMeans,40,0,1
1,48.25,25.085,1,1,Industrials,0.26,1,White,1.75,1,1,3,0,ByBirth,120,14,1
1,28.33,5.0,1,1,Industrials,4.25,1,White,11.0,1,0,0,1,ByBirth,70,0,1
0,18.75,7.5,1,1,Materials,8.23,1,White,2.71,1,1,5,0,ByBirth,0,26726,1
1,18.5,2.0,1,1,ConsumerDiscretionary,3.14,1,White,1.5,1,1,2,0,ByBirth,120,300,1
1,33.17,3.04,0,0,Energy,2.7,0,Black,2.04,1,1,1,1,ByBirth,180,18027,1
1,45.0,8.5,1,1,InformationTechnology,2.04,1,Black,14.0,1,1,1,1,ByBirth,88,2000,1
0,19.67,0.21,1,1,Materials,1.87,1,Black,0.29,1,1,11,0,ByBirth,80,99,1
1,24.5,12.75,1,1,Energy,1.71,1,Asian,4.75,1,1,2,0,ByBirth,73,444,1
1,21.83,11.0,1,1,Utilities,4.14,1,White,0.29,1,1,6,0,ByBirth,121,0,1
1,40.25,21.5,1,1,Education,0.24,1,Other,20.0,1,1,11,0,ByBirth,0,1200,1
1,41.42,5.0,1,1,Materials,4.7,1,Black,5.0,1,1,6,1,ByBirth,470,0,1
0,17.83,11.0,1,1,Utilities,4.64,1,Black,1.0,1,1,11,0,ByBirth,0,3000,1
1,23.17,11.125,1,1,Utilities,6.35,1,Black,0.46,1,1,1,0,ByBirth,100,0,1
1,28.46,0.625,1,1,Financials,0.71,1,White,0.25,0,0,0,0,ByBirth,380,2010,0
1,18.17,10.25,1,1,Energy,9.7,1,Black,1.085,0,0,0,0,ByBirth,320,13,0
1,20.0,11.045,1,1,Energy,8.29,1,White,2.0,0,0,0,1,ByBirth,136,0,0
1,20.0,0.0,1,1,Real Estate,1.74,1,White,0.5,0,0,0,0,ByBirth,144,0,0
0,20.75,9.54,1,1,ConsumerDiscretionary,2.13,1,White,0.04,0,0,0,0,ByBirth,200,1000,0
0,24.5,1.75,0,0,Energy,4.35,0,White,0.165,0,0,0,0,ByBirth,132,0,0
1,32.75,2.335,1,1,Real Estate,3.8,1,Black,5.75,0,0,0,1,ByBirth,292,0,0
